sensor_id,rmse,mae,lat,lon,row_count,dist_from_train_centroid_km
280478,2.3564809277330223,1.5578981074622806,32.75621,-96.96507,4222,18.4079044359776
280468,2.4727135604173833,1.7476236615531284,32.63575,-97.04373,4270,34.51065680080531
196421,2.6817888964194676,1.814009339134516,32.977444,-96.77611,4071,13.892925379928236
283882,2.691588900018442,1.6660654807491169,32.894684,-96.811386,2405,6.539658017533996
233009,2.7815362591506334,1.8011150485726357,33.031593,-96.970695,4248,18.4054584904117
196323,2.985445015381463,1.8602128639071833,32.960114,-96.6922,4119,19.780378884583534
109566,2.9964906150388306,1.9559701532655887,32.576748,-97.008194,4017,39.4586216323125
144032,3.0050600236112666,2.097590319434037,32.861404,-96.68724,4257,19.169274151154788
280470,3.0226924724914968,1.7753315829614953,32.70023,-97.00805,4152,26.194236148270313
120681,3.036845232844151,2.497778762362246,32.97801,-96.97727,2390,13.775296890079952
164965,3.1289837949162695,1.9556792249255257,33.073666,-96.89765,4028,21.002975746072387
233007,3.1415516390855815,1.9344095721760677,33.03821,-97.01968,4302,21.799695386989068
53389,3.4681507805804723,2.5663295968929045,33.06212,-96.99123,2756,22.511654912222312
305450,3.6020434957955585,2.4996348239000943,32.715767,-96.756905,509,24.16096487833852
232993,3.617080983804009,2.3057786998835494,33.017765,-97.00562,3834,19.08088829350838
280940,4.469952193120748,2.8509588311310106,32.71137,-97.02061,2502,25.718493320336325
266465,4.545262347952815,2.7623932582456736,32.995834,-96.725136,4275,19.09406954499959
147038,4.720540223031503,3.933172516918178,33.00878,-96.80816,3785,14.970625897441519
241905,5.490557294301505,3.8912192442526337,33.01271,-96.51433,4265,38.30262490304315
